nom_producte,tipus_subproducte,preu_producte,url_producte,descripcio_producte
NISSE,"
        Silla plegable",20€,https://www.ikea.com/es/es/p/nisse-silla-plegable-alto-brillo-blanco-cromado-10115067/,"
          Una silla ligera y fácil de sacar y desplegar cuando vienen invitados. Fácil de plegar y guardar cuando no se necesita.
          "
MÄSTERBY,"
        Taburete escalón","29,99€",https://www.ikea.com/es/es/p/masterby-taburete-escalon-beige-40332074/,"
          Resulta muy útil para guardar cosas en zonas altas. Este taburete escalón, además de ser muy bonito, va muy bien para llegar a la parte superior de los armarios.
          "
MELLTORP / ADDE,"
        Mesa con 4 sillas,
          ",80€,https://www.ikea.com/es/es/p/melltorp-adde-mesa-con-4-sillas-blanco-s99014376/,"
          Esta mesa se adapta a todo tipo de necesidades y gustos, desde los fans de lo minimalista hasta las familias que necesitan resistencia y durabilidad. Ponla en la cocina o el comedor. Su diseño sencillo combina bien con muchos estilos.
          "
URBAN,"
        Silla alta para niños y niñas","34,99€",https://www.ikea.com/es/es/p/urban-silla-alta-ninos-ninas-verde-50207036/,"
          Si tu hijo es demasiado mayor para una trona pero pequeño para una silla normal, opta por una silla júnior: suficientemente alta para llegar a la mesa y con sitio para poner los pies. Ideal para disfrutar comiendo y haciendo manualidades.
          "
RÖNNINGE,"
        Silla",79€,https://www.ikea.com/es/es/p/ronninge-silla-verde-50412895/,
LERHAMN,"
        Silla",40€,https://www.ikea.com/es/es/p/lerhamn-silla-negro-marron-vittaryd-beige-70264281/,
VOLFGANG,"
        Silla","49,99€",https://www.ikea.com/es/es/p/volfgang-silla-cromado-gunnared-rosa-marron-rosa-claro-60421903/,"
          Un asiento mullido, acolchado y flexible que te permite descansar y relajarte incluso si permaneces sentado durante mucho tiempo. Los taburetes y sillas de comedor VOLFGANG son igual de cómodos.
          "
INGOLF,"
        Silla alta para niños y niñas","39,99€",https://www.ikea.com/es/es/p/ingolf-silla-alta-ninos-ninas-tint-envj-60353838/,"
          Si tu hijo es demasiado mayor para una trona pero pequeño para una silla normal, opta por una silla júnior: suficientemente alta para llegar a la mesa y con sitio para poner los pies. Ideal para disfrutar comiendo y haciendo manualidades.
          "
HARRY,"
        Silla","39,99€",https://www.ikea.com/es/es/p/harry-silla-abedul-blekinge-blanco-60105829/,
DJUPVIK,"
        Cojín,
          ","19,99€",https://www.ikea.com/es/es/p/djupvik-cojin-blekinge-blanco-30204798/,
EKEDALEN,"
        Funda silla",10€,https://www.ikea.com/es/es/p/ekedalen-funda-silla-orrsta-gris-claro-40377048/,
HENRIKSDAL,"
        Taburete alto,
          ",119€,https://www.ikea.com/es/es/p/henriksdal-taburete-alto-negro-marron-glose-negro-50318987/,
STRANDMON,"
        Sillón para niños",99€,https://www.ikea.com/es/es/p/strandmon-sillon-ninos-vissle-gris-70392542/,"
          Los niños se sienten especiales e importantes cuando hacen lo mismo que los adultos. Por eso hemos creado una versión en miniatura de nuestro querido sillón STRANDMON. Ahora ya podéis sentaros y relajaros juntos, uno al lado del otro.
          "
HENRIKSDAL,"
        Funda silla",25€,https://www.ikea.com/es/es/p/henriksdal-funda-silla-linneryd-natural-80187683/,
INDUSTRIELL,"
        Banco,
          ",89€,https://www.ikea.com/es/es/p/industriell-banco-pino-50394537/,
BRORINGE,"
        Soporte",15€,https://www.ikea.com/es/es/p/broringe-soporte-blanco-90339902/,
VANGSTA / TEODORES,"
        Mesa y dos sillas,
          ",99€,https://www.ikea.com/es/es/p/vangsta-teodores-mesa-dos-sillas-blanco-blanco-s19221209/,
VANGSTA / TEODORES,"
        Mesa con 4 sillas,
          ",179€,https://www.ikea.com/es/es/p/vangsta-teodores-mesa-con-4-sillas-blanco-naranja-claro-s19252173/,
